id,centerX,centerY,weatherID,soilDepth,soilThetaS,soilThetaR,soilVanGenuchtenAlpha,soilVanGenuchtenN
86222,126550,203150,N204.0 E128.0,114,0.6006465732223458,0.07361859835041634,5550280.1605159,1.3306224991877846
86221,126550,203250,N204.0 E128.0,114,0.6000592342920994,0.07478243736917838,5432417.545367327,1.327624903235868
86572,126650,203250,N204.0 E128.0,114,0.6030491157407648,0.07344908595945666,5411001.777220599,1.3288657739671357
86923,126750,203250,N204.0 E128.0,114,0.6080199835307311,0.07328068863870087,5144674.897048406,1.3278730752611028
87274,126850,203250,N204.0 E128.0,114,0.6060334457280603,0.07467586083517397,5046613.76312044,1.323541612849077
87275,126850,203150,N204.0 E128.0,114,0.6067000955822526,0.07407380685711289,5081020.928956458,1.32576854642115
87625,126950,203250,N204.0 E128.0,96,0.5877388683923828,0.06796553679790424,5974926.317545712,1.346122297975754
87623,126950,203450,N204.0 E128.0,96,0.593474825339702,0.06546495373671252,5992687.969347561,1.346232872603362
87624,126950,203350,N204.0 E128.0,96,0.58061415857325,0.061589093471411595,6169805.998363379,1.3521562277287682
87273,126850,203350,N204.0 E128.0,114,0.6025617438646262,0.07414888607525967,5399950.107586377,1.3280575713959686
87272,126850,203450,N204.0 E128.0,114,0.6013911104099334,0.07430022111031832,5473628.708571118,1.3270932891084772
87271,126850,203550,N204.0 E128.0,114,0.596331929090863,0.0740526650177195,5481219.75027444,1.326596065702144
87622,126950,203550,N204.0 E128.0,96,0.6062048677251571,0.07220344225384503,5851653.602889125,1.3353968655454054
87621,126950,203650,N204.0 E128.0,114,0.5977905621923705,0.07268898112070339,5728752.289070922,1.3325011737165398
87620,126950,203750,N204.0 E128.0,114,0.5994330758980491,0.07255831783588386,5724586.517646747,1.3328774467720623
87619,126950,203850,N204.0 E128.0,114,0.5969242429556814,0.07343529363718337,5690247.821495176,1.3312999730613857
87268,126850,203850,N204.0 E128.0,114,0.5991119449517053,0.0710793159281214,5857662.662928119,1.3356907840883498
87269,126850,203750,N204.0 E128.0,114,0.6005517559599849,0.0704304604247833,5843047.2360227285,1.3357773092406526
87270,126850,203650,N204.0 E128.0,114,0.5998005717911086,0.07331280455426233,5623396.0570994755,1.3310248757750665
86919,126750,203650,N204.0 E128.0,114,0.5995264568839943,0.07450904433305068,5487174.298046469,1.3282307959476802
86568,126650,203650,N204.0 E128.0,114,0.6046316673031499,0.07356379869562839,5281211.559270454,1.3268805982483298
86567,126650,203750,N204.0 E128.0,112.5,0.600627220808356,0.07368212488514407,5609599.944176668,1.3315203355859826
86918,126750,203750,N204.0 E128.0,114,0.5984037113784437,0.07332787364762147,5634637.465379732,1.3310749978698502
86917,126750,203850,N204.0 E128.0,114,0.6000866204532874,0.07165242834302613,5721909.487306135,1.3332221635470245
86566,126650,203850,N204.0 E128.0,112.5,0.5999175593394923,0.07300685910439048,5653948.601517336,1.3301492167402218
86215,126550,203850,N204.0 E128.0,111,0.59885853265940725,0.07381421976160628,5619367.188038743,1.3300482293775475
86216,126550,203750,N204.0 E128.0,112.5,0.6024059179445934,0.0708443990598122,5643020.368677744,1.3324636488269868
86217,126550,203650,N204.0 E128.0,112.5,0.6065901271584961,0.07273479136120947,5212767.343451705,1.3285809338975825
86218,126550,203550,N204.0 E128.0,112.5,0.6033826561506701,0.07190765341122944,5613257.231181197,1.33270654492908
86569,126650,203550,N204.0 E128.0,114,0.6060576449360762,0.07426744753941461,5174118.313350489,1.3247000777233418
86920,126750,203550,N204.0 E128.0,114,0.6060918606490945,0.07455115613380546,5061265.813595502,1.324610327070917
86570,126650,203450,N204.0 E128.0,114,0.6065741281912863,0.07484216934168024,4942437.955833044,1.3239074801666681
86921,126750,203450,N204.0 E128.0,114,0.5991374349483012,0.07618647472720524,5282899.402933505,1.3233362055138522
86922,126750,203350,N204.0 E128.0,114,0.6042733037141724,0.07487187179197605,5162421.806891628,1.3241967181053007
86571,126650,203350,N204.0 E128.0,114,0.6065319025377084,0.0721631813522058,5443203.7914913595,1.33227084303211
86219,126550,203450,N204.0 E128.0,112.5,0.6030393678229301,0.0697073650132451,5909377.798537537,1.3370580920687414
