id,centerX,centerY,model.climate.tableName,model.settings.soil.qh,model.settings.soil.leaching,model.settings.soil.el,model.settings.soil.er,model.site.availableNitrogen,model.site.soilHumificationRate,model.site.somDecompRate,model.site.soilDepth,model.site.pctSand,model.site.pctSilt,model.site.pctClay,model.site.youngLabileC,model.site.youngLabileN,model.site.somC,model.site.somN,model.initialization.snags.swdC,model.initialization.snags.swdCount,model.initialization.snags.swdCN,model.initialization.snags.swdHalfLife,model.initialization.snags.swdDecompRate,model.site.youngRefractoryC,model.site.youngRefractoryN,model.initialization.snags.otherC,model.initialization.snags.otherCN,model.site.youngLabileDecompRate,model.site.youngRefractoryDecompRate
1,50,50,climate1,9.080668384,0.367168364,0.246613264,0.250973362,56.18682579,0.398503829,0.030720539,11.28,10,60,30,4841.498397,255.4353319,161086.884,17739.54044,4761.800257,2380.900129,348.551668,18.96707868,0.05371875,45974.14423,261.731921,1892.939485,348.551668,0.322,0.1790625
10,50,150,climate1,14.24546555,0.460485201,0.205784492,0.215875322,53.09517803,0.490320752,0.047247521,18.8,47.5,32.5,20,13625.94925,718.8991061,174229.7887,12230.54369,0,0,348.551668,18.96707868,0.05371875,45974.14423,261.731921,0,348.551668,0.322,0.1790625
